2017_08_08_12_51_51 | machine_model_entrance.py | INFO | sys.argv:	['C:/Users/pengzh5x/Desktop/machine_scripts/machine_model_entrance.py']
2017_08_08_12_51_51 | machine_model_entrance.py | INFO | >>>>>>>>>> Please Wait .... The program is detecting memory <<<<<<<<<<
2017_08_08_12_51_51 | common_interface_func.pyc | INFO | The 1 time:	Tue Aug 08 12:52:02 2017 |  CPU: 6.3% |  Memory:  49.2%  3987M/8103M
2017_08_08_12_51_51 | machine_model_entrance.py | INFO | >>>>>>>>>> Memory detection Finished <<<<<<<<<<
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | The main windows of configuration is closed!
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | purl_bak_string:              Purley-FPGA
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | from_address:                 pengx.zhang@intel.com
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | receive_address:              pengx.zhang@intel.com,libo.fu@intel.com
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | server_address:               smtp.intel.com
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | week_num:                     100
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | reacquire_data_flag:          YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | verify_file_flag:             YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | max_waiting_time:             120 minute(s)
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | on_off_line_save_flag:        offline
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | keep_continuous:              NO
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | send_email_flag:              YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | get_default_flag:             
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | display_software:             YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | display_new:                  YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | display_existing:             YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | display_closed:               YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | display_total:                YES
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | template_file:                C:/Users/pengzh5x/Desktop/machine_scripts/ITF_Skylake_Purley-FPGA_BKC_TestCase_WW31_v2.5.0_Template_100W.xlsx
2017_08_08_12_51_51 | machine_config_gui.pyc | INFO | week_input_string_list:       []
2017_08_08_12_51_51 | machine_model_entrance.py | INFO | Program Offline Run Mode Switch is on
