2017_08_16_02_02_29 | machine_model_entrance.py | INFO | sys.argv:	['C:\\Users\\Public\\newest_machine_program\\machine_model_entrance.py']
2017_08_16_02_02_29 | machine_model_entrance.py | INFO | >>>>>>>>>> Please Wait .... The program is detecting memory <<<<<<<<<<
2017_08_16_02_02_29 | common_interface_func.py | INFO | The 1 time:	Wed Aug 16 02:02:33 2017 |  CPU: 15.8% |  Memory:  49.0%  3964M/8091M
2017_08_16_02_02_29 | machine_model_entrance.py | INFO | >>>>>>>>>> Memory detection Finished <<<<<<<<<<
2017_08_16_02_02_29 | machine_config_gui.py | INFO | The main windows of configuration is closed!
2017_08_16_02_02_29 | machine_config_gui.py | INFO | purl_bak_string:              Purley-FPGA
2017_08_16_02_02_29 | machine_config_gui.py | INFO | from_address:                 pengx.zhang@intel.com
2017_08_16_02_02_29 | machine_config_gui.py | INFO | receive_address:              pengx.zhang@intel.com,libo.fu@intel.com
2017_08_16_02_02_29 | machine_config_gui.py | INFO | server_address:               smtp.intel.com
2017_08_16_02_02_29 | machine_config_gui.py | INFO | week_num:                     100
2017_08_16_02_02_29 | machine_config_gui.py | INFO | reacquire_data_flag:          NO
2017_08_16_02_02_29 | machine_config_gui.py | INFO | verify_file_flag:             YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | max_waiting_time:             120 minute(s)
2017_08_16_02_02_29 | machine_config_gui.py | INFO | on_off_line_save_flag:        offline
2017_08_16_02_02_29 | machine_config_gui.py | INFO | keep_continuous:              NO
2017_08_16_02_02_29 | machine_config_gui.py | INFO | send_email_flag:              NO
2017_08_16_02_02_29 | machine_config_gui.py | INFO | get_default_flag:             
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_software:             YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_new:                  YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_existing:             YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_closed:               YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_total:                YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_save_test:            YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_save_effort:          YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | display_miss:                 YES
2017_08_16_02_02_29 | machine_config_gui.py | INFO | template_file:                C:/Users/Public/newest_machine_program/ITF_Skylake_Purley-FPGA_BKC_TestCase_WW31_v2.5.0_Template_100W.xlsx
2017_08_16_02_02_29 | machine_config_gui.py | INFO | week_input_string_list:       []
2017_08_16_02_02_29 | machine_model_entrance.py | INFO | Program Offline Run Mode Switch is on
2017_08_16_02_02_29 | insert_excel.py | INFO | >>>>>>>>>> Please Wait ... The Program is being read for Excel Initialization <<<<<<<<<<
2017_08_16_02_02_29 | insert_excel.py | INFO | template_file:C:/Users/Public/newest_machine_program/ITF_Skylake_Purley-FPGA_BKC_TestCase_WW31_v2.5.0_Template_100W.xlsx	
2017_08_16_02_02_29 | insert_excel.py | INFO | The project id exists:	16
2017_08_16_02_02_29 | insert_excel.py | CRITICAL | The Candidate date is not exists:	16
2017_08_16_02_02_29 | insert_excel.py | INFO | _predict_url:	None
2017_08_16_02_02_29 | insert_excel.py | INFO | >>>>>>>>>> Excel Initialization End <<<<<<<<<<
2017_08_16_02_02_29 | machine_model_entrance.py | INFO | predict_execute_flag:	False
2017_08_16_02_02_29 | machine_model_entrance.py | INFO | call_func_list:	['insert_Rework_data', 'insert_HWInfo', 'insert_ExistingSi_data', 'insert_ReworkInfo', 'insert_IFWIInfo', 'insert_ClosedSi_data', 'insert_HW_data', 'insert_SWInfo', 'insert_IFWI_data', 'insert_save_miss_data', 'insert_Mapping', 'insert_test_time_data', 'insert_NewSi_data', 'insert_SW_data', 'insert_Platform_data', 'insert_SW_Original_data', 'insert_trend_data', 'insert_change_history_data', 'insert_IFWI_Original_data', 'insert_CaseResult']
2017_08_16_02_02_29 | machine_model_entrance.py | INFO | >>>>>>>>>> Please Wait .... The program is inserting Excel Data <<<<<<<<<<
2017_08_16_02_02_29 | insert_excel.py | INFO | Start inserting [ HW Rework ] data.........
