Index	WW	Software Check In	New Sighting	Existing Sighting	Closed Sighting	Total Sighting
1	2016WW47	4	2	4	-3	6
2	2016WW49	7	1	10	-2	11
3	2016WW50	7	2	9	-3	11
4	2016WW51	5	1	7	-4	8
5	2016WW52	5	2	6	-2	8
6	2016WW53	5	0	7	-2	7
7	2017WW01	4	0	4	-3	4
8	2017WW02	4	0	3	-1	3
9	2017WW03	5	3	4	0	7
10	2017WW04	1	0	7	0	7
11	2017WW06	5	3	3	-4	6
12	2017WW07	9	3	4	-2	7
13	2017WW08	1	0	7	0	7
14	2017WW09	3	0	6	-2	6
15	2017WW10	3	1	5	-1	6
16	2017WW11	5	3	2	-4	5
17	2017WW12	7	1	4	-1	5
18	2017WW13	6	2	4	-1	6
19	2017WW15	4	2	5	-1	7
20	2017WW16	4	1	6	-1	7
21	2017WW17	1	0	4	-3	4
22	2017WW18	3	0	4	0	4
23	2017WW20	1	0	3	-1	3
24	2017WW21	4	1	3	0	4
25	2017WW22	2	1	4	0	5
26	2017WW23	2	0	4	-1	4
27	2017WW24	3	1	3	-1	4
28	2017WW25	3	1	3	-1	4
29	2017WW28	3	1	3	-1	4
30	2017WW29	1	0	3	-1	3
31	2017WW31	2	1	2	-1	3
32	2017WW32	1	0	0	0	0
