Index	WW	Software Check In	New Sighting	Existing Sighting	Closed Sighting	Total Sighting
1	2016WW40	26	5	0	0	5
2	2016WW42	6	1	4	-1	5
3	2016WW43	7	2	5	0	7
4	2016WW44	9	2	7	0	9
5	2016WW45	5	2	7	-2	9
6	2016WW46	6	2	8	-1	10
7	2016WW47	7	1	10	0	11
8	2016WW48	5	0	11	0	11
9	2016WW49	10	0	10	-2	10
10	2016WW50	10	1	8	-2	9
11	2016WW51	7	1	9	0	10
12	2016WW52	7	1	10	0	11
13	2016WW53	4	3	11	0	14
14	2017WW01	4	1	9	-3	10
15	2017WW02	4	0	9	-1	9
16	2017WW03	6	2	7	-2	9
17	2017WW04	5	5	7	-2	12
18	2017WW06	6	0	10	-2	10
19	2017WW07	4	1	9	-1	10
20	2017WW08	4	1	10	0	11
21	2017WW09	5	1	11	0	12
22	2017WW10	5	0	11	-1	11
23	2017WW11	8	3	10	-1	13
